step,time,component,voltage,current,energy_stored,energy_consumed,total_energy_consumed
0,0.0,supply,8.0,NaN,NaN,NaN,NaN
0,0.0,storage,0.0,0.0032,0.0,NaN,NaN
0,0.0,load,0.0,0.0,NaN,0.0,0.0
1,0.25,supply,8.0,NaN,NaN,NaN,NaN
1,0.25,storage,0.07960133000665515,0.003168159467997338,3.168185869414209e-05,NaN,NaN
1,0.25,load,0.0,0.0,NaN,0.0,0.0
2,0.5,supply,8.0,NaN,NaN,NaN,NaN
2,0.5,storage,0.15841061354595798,0.003136635754581617,0.00012546961242003424,NaN,NaN
2,0.5,load,0.0,0.0,NaN,0.0,0.0
3,0.75,supply,8.0,NaN,NaN,NaN,NaN
3,0.75,storage,0.23643573161193476,0.0031054257073552262,0.00027950927591435424,NaN,NaN
3,0.75,load,0.0,0.0,NaN,0.0,0.0
4,1.0,supply,8.0,NaN,NaN,NaN,NaN
4,1.0,storage,0.3136844867814146,0.0030745262052874344,0.0004919897862365973,NaN,NaN
4,1.0,load,0.0,0.0,NaN,0.0,0.0
5,1.25,supply,8.0,NaN,NaN,NaN,NaN
5,1.25,storage,0.3901646039942879,0.003043934158402285,0.0007611420910500974,NaN,NaN
5,1.25,load,0.0,0.0,NaN,0.0,0.0
6,1.5,supply,8.0,NaN,NaN,NaN,NaN
6,1.5,storage,0.46588373132601024,0.003013646507469596,0.0010852382555712305,NaN,NaN
6,1.5,load,0.0,0.0,NaN,0.0,0.0
7,1.75,supply,8.0,NaN,NaN,NaN,NaN
7,1.75,storage,0.5408494407524138,0.0029836602236990345,0.0014625905878109938,NaN,NaN
7,1.75,load,0.0,0.0,NaN,0.0,0.0
8,2.0,supply,8.0,NaN,NaN,NaN,NaN
8,2.0,storage,0.615069228906914,0.0029539723084372345,0.0018915507817407287,NaN,NaN
8,2.0,load,0.0,0.0,NaN,0.0,0.0
9,2.25,supply,8.0,NaN,NaN,NaN,NaN
9,2.25,storage,0.6885505178301745,0.0029245797928679302,0.0023705090780210074,NaN,NaN
9,2.25,load,0.0,0.0,NaN,0.0,0.0
10,2.5,supply,8.0,NaN,NaN,NaN,NaN
10,2.5,storage,0.7613006557123239,0.0028954797377150707,0.0028978934419400717,NaN,NaN
10,2.5,load,0.0,0.0,NaN,0.0,0.0
11,2.75,supply,8.0,NaN,NaN,NaN,NaN
11,2.75,storage,0.8333269176277742,0.0028666692329488903,0.003472168758215036,NaN,NaN
11,2.75,load,0.0,0.0,NaN,0.0,0.0
12,3.0,supply,8.0,NaN,NaN,NaN,NaN
12,3.0,storage,0.9046365062627402,0.002838145397494904,0.004091836042316284,NaN,NaN
12,3.0,load,0.0,0.0,NaN,0.0,0.0
13,3.25,supply,8.0,NaN,NaN,NaN,NaN
13,3.25,storage,0.9752365526355096,0.0028099053789457963,0.004755431667981965,NaN,NaN
13,3.25,load,0.0,0.0,NaN,0.0,0.0
14,3.5,supply,8.0,NaN,NaN,NaN,NaN
14,3.5,storage,1.0451341168095531,0.0027819463532761787,0.005461526610596424,NaN,NaN
14,3.5,load,0.0,0.0,NaN,0.0,0.0
15,3.75,supply,8.0,NaN,NaN,NaN,NaN
15,3.75,storage,1.1143361885995375,0.0027542655245601853,0.00620872570611272,NaN,NaN
15,3.75,load,0.0,0.0,NaN,0.0,0.0
16,4.0,supply,8.0,NaN,NaN,NaN,NaN
16,4.0,storage,1.1828496882703092,0.0027268601246918764,0.006995666925205839,NaN,NaN
16,4.0,load,0.0,0.0,NaN,0.0,0.0
17,4.25,supply,8.0,NaN,NaN,NaN,NaN
17,4.25,storage,1.2506814672289304,0.002699727413108428,0.00782102066234955,NaN,NaN
17,4.25,load,0.0,0.0,NaN,0.0,0.0
18,4.5,supply,8.0,NaN,NaN,NaN,NaN
18,4.5,storage,1.317838308709824,0.0026728646765160706,0.008683489039515848,NaN,NaN
18,4.5,load,0.0,0.0,NaN,0.0,0.0
19,4.75,supply,8.0,NaN,NaN,NaN,NaN
19,4.75,storage,1.3843269284531017,0.0026462692286187595,0.009581805224201994,NaN,NaN
19,4.75,load,0.0,0.0,NaN,0.0,0.0
20,5.0,supply,8.0,NaN,NaN,NaN,NaN
20,5.0,storage,1.4501539753761454,0.002619938409849542,0.010514732761496191,NaN,NaN
20,5.0,load,0.0,0.0,NaN,0.0,0.0
21,5.25,supply,8.0,NaN,NaN,NaN,NaN
21,5.25,storage,1.5153260322385034,0.002593869587104599,0.01148106491989843,NaN,NaN
